0                   	a                   
1                   	=                   
2                   	1                   
3                   	semic               
4                   	b                   
5                   	2                   
6                   	c                   
7                   	3                   
8                   	d                   
9                   	4                   
10                  	e                   
11                  	+                   
12                  	f                   
13                  	*                   
14                  	g                   
15                  	/                   
16                  	h                   
17                  	-                   
18                  	$                   
