0                   	main                
1                   	a                   
2                   	0x123               
3                   	b                   
4                   	123                 
5                   	c                   
6                   	0123                
7                   	d                   
8                   	0b10101             
9                   	e                   
10                  	123.321             
11                  	f                   
12                  	0.123321            
13                  	g                   
14                  	"123321"            
15                  	1                   
16                  	0                   
17                  	printf              
18                  	"Hello World\n"     
